customer_id,first_name,last_name,age,gender,signup_date,loyalty_points
CUST00001,FName1,LName1,56,Male,2019-08-24 22:14:12,3182
CUST00002,FName2,LName2,69,Female,2018-06-08 14:02:16,4787
CUST00003,FName3,LName3,46,Male,2020-10-29 20:44:14,4814
CUST00004,FName4,LName4,32,Male,2020-05-30 20:53:15,4329
CUST00005,FName5,LName5,60,Female,2018-04-11 08:48:54,3097
CUST00006,FName6,LName6,25,Female,2020-11-12 14:58:24,1404
CUST00007,FName7,LName7,38,Female,2018-01-31 14:27:26,3801
CUST00008,FName8,LName8,56,Female,2019-08-03 11:13:12,1369
CUST00009,FName9,LName9,36,Male,2019-06-27 22:35:27,2064
CUST00010,FName10,LName10,40,Female,2019-06-09 13:37:15,2292
CUST00011,FName11,LName11,28,Female,2021-05-24 04:49:35,2765
CUST00012,FName12,LName12,28,Other,2019-08-17 06:15:45,2817
CUST00013,FName13,LName13,41,Female,2018-09-12 07:06:07,716
CUST00014,FName14,LName14,53,Female,2020-08-23 06:26:13,4040
CUST00015,FName15,LName15,57,Other,2019-09-11 11:30:51,1711
CUST00016,FName16,LName16,41,Other,2021-10-12 19:53:14,1225
CUST00017,FName17,LName17,20,Male,2019-09-04 14:30:11,8
CUST00018,FName18,LName18,39,Other,2021-03-31 09:03:29,597
CUST00019,FName19,LName19,19,Male,2019-09-03 03:49:57,4118
CUST00020,FName20,LName20,41,Other,2021-04-20 09:08:07,1608
CUST00021,FName21,LName21,61,Other,2022-05-05 21:18:53,3031
CUST00022,FName22,LName22,47,Male,2019-05-16 08:09:53,3667
CUST00023,FName23,LName23,55,Other,2019-09-01 18:06:07,2246
CUST00024,FName24,LName24,19,Male,2020-04-17 13:30:47,3626
CUST00025,FName25,LName25,38,Other,2022-09-07 07:33:44,4071
CUST00026,FName26,LName26,50,Female,2020-06-28 01:29:03,2822
CUST00027,FName27,LName27,29,Other,2021-11-08 00:37:45,91
CUST00028,FName28,LName28,39,Male,2022-08-15 14:55:17,850
CUST00029,FName29,LName29,61,Other,2018-07-07 20:26:18,1107
CUST00030,FName30,LName30,42,Male,2018-04-17 13:50:01,299
CUST00031,FName31,LName31,66,Male,2018-11-26 20:16:55,2343
CUST00032,FName32,LName32,44,Female,2020-01-26 05:02:03,1477
CUST00033,FName33,LName33,59,Female,2019-10-10 21:17:40,1082
CUST00034,FName34,LName34,45,Male,2021-05-10 11:43:23,2956
CUST00035,FName35,LName35,33,Other,2018-07-02 15:30:30,2918
CUST00036,FName36,LName36,32,Male,2020-04-21 05:40:09,1365
CUST00037,FName37,LName37,64,Male,2018-02-26 13:16:42,2800
CUST00038,FName38,LName38,68,Other,2022-01-08 02:58:23,3536
CUST00039,FName39,LName39,61,Other,2020-10-13 02:57:57,3951
CUST00040,FName40,LName40,69,Other,2020-07-26 14:41:49,2109
CUST00041,FName41,LName41,20,Other,2021-07-24 00:38:45,775
CUST00042,FName42,LName42,54,Male,2020-11-11 18:00:31,1452
CUST00043,FName43,LName43,68,Male,2018-04-30 09:21:11,1681
CUST00044,FName44,LName44,24,Female,2022-10-23 17:18:50,2303
CUST00045,FName45,LName45,38,Male,2022-05-01 13:03:15,1851
CUST00046,FName46,LName46,26,Other,2022-06-03 22:01:22,1897
CUST00047,FName47,LName47,56,Female,2019-06-17 05:04:13,3418
CUST00048,FName48,LName48,35,Other,2022-06-18 08:17:42,3597
CUST00049,FName49,LName49,21,Male,2020-08-02 15:43:32,1327
CUST00050,FName50,LName50,42,Female,2022-04-06 15:52:42,614
CUST00051,FName51,LName51,31,Other,2018-02-24 18:04:14,244
CUST00052,FName52,LName52,67,Female,2021-11-22 12:33:37,756
CUST00053,FName53,LName53,26,Female,2022-05-19 17:25:13,823
CUST00054,FName54,LName54,43,Male,2022-06-22 07:34:13,2827
CUST00055,FName55,LName55,19,Other,2019-01-23 16:15:57,3807
CUST00056,FName56,LName56,37,Female,2022-04-23 11:51:09,2779
CUST00057,FName57,LName57,45,Female,2018-07-06 00:32:06,1846
CUST00058,FName58,LName58,64,Other,2022-08-04 10:51:40,1240
CUST00059,FName59,LName59,24,Female,2022-03-07 19:44:02,4611
CUST00060,FName60,LName60,61,Female,2022-09-26 08:15:29,473
CUST00061,FName61,LName61,25,Female,2020-01-28 00:19:55,4131
CUST00062,FName62,LName62,64,Other,2018-06-29 05:58:23,3249
CUST00063,FName63,LName63,52,Other,2019-02-12 06:41:33,1792
CUST00064,FName64,LName64,31,Other,2019-07-16 06:05:04,1734
CUST00065,FName65,LName65,34,Other,2019-06-16 19:49:14,4925
CUST00066,FName66,LName66,53,Male,2020-06-16 03:07:53,3942
CUST00067,FName67,LName67,67,Female,2020-01-07 22:53:51,944
CUST00068,FName68,LName68,57,Other,2019-02-05 04:06:18,1511
CUST00069,FName69,LName69,21,Female,2019-07-21 13:31:41,4081
CUST00070,FName70,LName70,19,Female,2019-03-29 07:01:04,4526
CUST00071,FName71,LName71,23,Male,2020-03-23 19:49:55,858
CUST00072,FName72,LName72,59,Other,2022-06-26 22:46:46,3560
CUST00073,FName73,LName73,21,Other,2022-05-19 18:46:55,229
CUST00074,FName74,LName74,46,Female,2019-07-21 12:24:41,2417
CUST00075,FName75,LName75,35,Other,2019-07-30 19:31:22,177
CUST00076,FName76,LName76,43,Female,2021-01-24 11:09:25,3928
CUST00077,FName77,LName77,61,Female,2022-04-13 02:37:46,2615
CUST00078,FName78,LName78,51,Male,2021-08-08 05:33:49,1613
CUST00079,FName79,LName79,27,Male,2021-05-25 09:00:30,2840
CUST00080,FName80,LName80,53,Male,2018-07-07 07:38:11,2947
CUST00081,FName81,LName81,31,Female,2020-05-01 15:08:20,1774
CUST00082,FName82,LName82,48,Other,2021-11-01 17:19:49,3871
CUST00083,FName83,LName83,65,Male,2018-04-04 02:22:12,81
CUST00084,FName84,LName84,32,Other,2022-01-30 23:36:50,845
CUST00085,FName85,LName85,25,Male,2018-08-31 04:59:46,2809
CUST00086,FName86,LName86,31,Male,2022-03-12 16:15:59,1216
CUST00087,FName87,LName87,40,Female,2019-05-15 10:30:42,4713
CUST00088,FName88,LName88,57,Male,2022-06-26 09:13:18,3260
CUST00089,FName89,LName89,38,Male,2018-12-31 21:32:53,3145
CUST00090,FName90,LName90,33,Female,2020-07-08 21:13:19,2263
CUST00091,FName91,LName91,62,Other,2019-10-09 09:51:13,2337
CUST00092,FName92,LName92,35,Male,2019-03-04 22:58:55,444
CUST00093,FName93,LName93,64,Female,2021-04-19 11:08:26,922
CUST00094,FName94,LName94,41,Male,2021-09-13 22:12:00,4288
CUST00095,FName95,LName95,43,Female,2021-09-01 22:06:40,4384
CUST00096,FName96,LName96,42,Other,2018-06-13 22:55:40,2630
CUST00097,FName97,LName97,62,Other,2020-07-07 21:46:46,1167
CUST00098,FName98,LName98,58,Female,2022-11-16 10:37:33,3963
CUST00099,FName99,LName99,46,Female,2022-02-10 05:45:36,3441
CUST00100,FName100,LName100,32,Female,2019-11-11 18:36:32,3512
CUST00101,FName101,LName101,62,Other,2021-11-18 19:25:23,895
CUST00102,FName102,LName102,18,Male,2018-11-05 06:37:08,3722
CUST00103,FName103,LName103,42,Other,2018-10-08 02:04:20,2060
CUST00104,FName104,LName104,24,Female,2020-03-21 23:17:07,3034
CUST00105,FName105,LName105,26,Female,2022-12-11 23:43:50,2387
CUST00106,FName106,LName106,41,Other,2021-07-08 11:06:00,1897
CUST00107,FName107,LName107,18,Female,2020-10-02 09:23:18,1799
CUST00108,FName108,LName108,61,Other,2022-09-01 01:01:50,4407
CUST00109,FName109,LName109,25,Female,2021-04-23 16:50:49,2780
CUST00110,FName110,LName110,41,Male,2022-02-23 17:28:48,1127
CUST00111,FName111,LName111,28,Male,2021-06-19 12:34:36,338
CUST00112,FName112,LName112,68,Female,2019-11-11 19:11:25,4454
CUST00113,FName113,LName113,34,Other,2020-05-23 01:56:48,1172
CUST00114,FName114,LName114,25,Male,2021-11-23 01:51:19,2808
CUST00115,FName115,LName115,52,Other,2019-05-11 13:45:46,4863
CUST00116,FName116,LName116,52,Female,2022-11-23 20:49:12,3029
CUST00117,FName117,LName117,50,Other,2021-01-11 20:33:15,2089
CUST00118,FName118,LName118,22,Male,2022-07-19 07:15:46,4297
CUST00119,FName119,LName119,59,Other,2020-12-03 10:41:39,3017
CUST00120,FName120,LName120,56,Other,2021-12-29 18:10:20,4559
CUST00121,FName121,LName121,58,Female,2022-12-13 23:35:46,448
CUST00122,FName122,LName122,45,Female,2020-08-09 14:42:31,4893
CUST00123,FName123,LName123,24,Female,2022-06-21 21:55:27,793
CUST00124,FName124,LName124,26,Male,2022-06-29 23:26:03,436
CUST00125,FName125,LName125,25,Male,2022-02-23 01:34:25,4626
CUST00126,FName126,LName126,29,Female,2021-11-11 14:31:38,4660
CUST00127,FName127,LName127,51,Female,2019-02-26 11:53:02,1620
CUST00128,FName128,LName128,50,Male,2018-10-04 04:36:13,3501
CUST00129,FName129,LName129,65,Male,2022-06-20 23:41:00,2919
CUST00130,FName130,LName130,40,Male,2020-12-25 12:47:34,4308
CUST00131,FName131,LName131,41,Male,2022-03-06 17:41:30,948
CUST00132,FName132,LName132,54,Female,2018-04-26 00:52:19,3944
CUST00133,FName133,LName133,52,Male,2021-04-22 20:49:14,1127
CUST00134,FName134,LName134,61,Female,2022-08-28 00:43:08,191
CUST00135,FName135,LName135,57,Other,2021-01-12 17:35:56,4012
